Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh
1,00:00:00,250.0,250.0,12.5
2,00:15:00,250.0,250.0,12.5
3,00:30:00,250.0,250.0,12.5
4,00:45:00,250.0,250.0,12.5
5,01:00:00,250.0,250.0,12.5
6,01:15:00,250.0,250.0,12.5
7,01:30:00,250.0,250.0,12.5
8,01:45:00,250.0,250.0,12.5
9,02:00:00,250.0,250.0,12.5
10,02:15:00,250.0,250.0,12.5
11,02:30:00,250.0,250.0,12.5
12,02:45:00,250.0,250.0,12.5
13,03:00:00,250.0,250.0,12.5
14,03:15:00,249.95,250.0,12.5
15,03:30:00,249.95,250.0,12.5
16,03:45:00,249.95,250.0,12.5
17,04:00:00,249.95,250.0,12.5
18,04:15:00,249.95,250.0,12.5
19,04:30:00,249.95,250.0,12.5
20,04:45:00,249.95,250.0,12.5
21,05:00:00,249.95,250.0,12.5
22,05:15:00,249.95,250.0,12.5
23,05:30:00,249.95,250.0,12.5
24,05:45:00,249.95,250.0,12.5
25,06:00:00,249.95,250.0,12.5
26,06:15:00,249.95,250.0,12.5
27,06:30:00,249.95,250.0,12.5
28,06:45:00,249.95,250.0,12.5
29,07:00:00,249.95,250.0,12.5
30,07:15:00,249.95,250.0,12.5
31,07:30:00,249.95,250.0,12.5
32,07:45:00,249.95,250.0,12.5
33,08:00:00,249.95,250.0,12.5
34,08:15:00,249.95,250.0,12.5
35,08:30:00,249.95,250.0,12.5
36,08:45:00,249.95,250.0,12.5
37,09:00:00,249.95,250.0,12.5
38,09:15:00,249.95,250.0,12.5
39,09:30:00,249.95,250.0,12.5
40,09:45:00,249.95,250.0,12.5
41,10:00:00,249.95,250.0,12.5
42,10:15:00,249.95,250.0,12.5
43,10:30:00,249.95,250.0,12.5
44,10:45:00,249.95,250.0,12.5
45,11:00:00,247.63421052631574,250.0,12.5
46,11:15:00,245.31842105263152,250.0,12.5
47,11:30:00,243.00263157894733,250.0,12.5
48,11:45:00,240.6868421052631,250.0,12.5
49,12:00:00,240.6868421052631,250.0,12.5
50,12:15:00,240.6868421052631,250.0,12.5
51,12:30:00,242.70087719243872,250.0,12.5
52,12:45:00,243.80789473847315,250.0,12.5
53,13:00:00,245.87192982564875,250.0,12.5
54,13:15:00,247.93596491282435,250.0,12.5
55,13:30:00,249.99999999999994,250.0,12.5
56,13:45:00,249.94999999999993,250.0,12.5
57,14:00:00,249.94999999999993,250.0,12.5
58,14:15:00,249.94999999999993,250.0,12.5
59,14:30:00,249.94999999999993,250.0,12.5
60,14:45:00,249.94999999999993,250.0,12.5
61,15:00:00,249.94999999999993,250.0,12.5
62,15:15:00,249.95000000978655,250.0,12.5
63,15:30:00,249.95000000978655,250.0,12.5
64,15:45:00,249.95000000978655,250.0,12.5
65,16:00:00,249.95000000978655,250.0,12.5
66,16:15:00,249.95000000978655,250.0,12.5
67,16:30:00,249.95000000978655,250.0,12.5
68,16:45:00,249.95000000978655,250.0,12.5
69,17:00:00,247.8447368518918,250.0,12.5
70,17:15:00,245.73947369399707,250.0,12.5
71,17:30:00,243.63421053610233,250.0,12.5
72,17:45:00,239.42368422031288,250.0,12.5
73,18:00:00,235.00263158873392,250.0,12.5
74,18:15:00,230.581578957155,250.0,12.5
75,18:30:00,226.16052632557603,250.0,12.5
76,18:45:00,221.7394736939971,250.0,12.5
77,19:00:00,217.31842106241814,250.0,12.5
78,19:15:00,212.89736843083918,250.0,12.5
79,19:30:00,214.9114035180148,250.0,12.5
80,19:45:00,216.9754386051904,250.0,12.5
81,20:00:00,219.03947369236602,250.0,12.5
82,20:15:00,221.1035087795416,250.0,12.5
83,20:30:00,223.1675438667172,250.0,12.5
84,20:45:00,225.2315789538928,250.0,12.5
85,21:00:00,227.2956140410684,250.0,12.5
86,21:15:00,229.359649128244,250.0,12.5
87,21:30:00,231.4236842154196,250.0,12.5
88,21:45:00,233.4877193025952,250.0,12.5
89,22:00:00,235.5517543897708,250.0,12.5
90,22:15:00,237.61578947694642,250.0,12.5
91,22:30:00,239.67982456412201,250.0,12.5
92,22:45:00,241.7438596512976,250.0,12.5
93,23:00:00,243.8078947384732,250.0,12.5
94,23:15:00,245.8719298256488,250.0,12.5
95,23:30:00,247.9359649128244,250.0,12.5
96,23:45:00,250.0,250.0,12.5
