Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh
1,00:00:00,250.0,250.0,12.5
2,00:15:00,250.0,250.0,12.5
3,00:30:00,250.0,250.0,12.5
4,00:45:00,250.0,250.0,12.5
5,01:00:00,250.0,250.0,12.5
6,01:15:00,250.0,250.0,12.5
7,01:30:00,250.0,250.0,12.5
8,01:45:00,250.0,250.0,12.5
9,02:00:00,250.0,250.0,12.5
10,02:15:00,250.0,250.0,12.5
11,02:30:00,250.0,250.0,12.5
12,02:45:00,250.0,250.0,12.5
13,03:00:00,250.0,250.0,12.5
14,03:15:00,250.0,250.0,12.5
15,03:30:00,250.0,250.0,12.5
16,03:45:00,250.0,250.0,12.5
17,04:00:00,250.0,250.0,12.5
18,04:15:00,250.0,250.0,12.5
19,04:30:00,250.0,250.0,12.5
20,04:45:00,250.0,250.0,12.5
21,05:00:00,250.0,250.0,12.5
22,05:15:00,250.0,250.0,12.5
23,05:30:00,250.0,250.0,12.5
24,05:45:00,250.0,250.0,12.5
25,06:00:00,250.0,250.0,12.5
26,06:15:00,250.0,250.0,12.5
27,06:30:00,250.0,250.0,12.5
28,06:45:00,250.0,250.0,12.5
29,07:00:00,250.0,250.0,12.5
30,07:15:00,250.0,250.0,12.5
31,07:30:00,250.0,250.0,12.5
32,07:45:00,250.0,250.0,12.5
33,08:00:00,250.0,250.0,12.5
34,08:15:00,250.0,250.0,12.5
35,08:30:00,250.0,250.0,12.5
36,08:45:00,250.0,250.0,12.5
37,09:00:00,250.0,250.0,12.5
38,09:15:00,250.0,250.0,12.5
39,09:30:00,250.0,250.0,12.5
40,09:45:00,250.0,250.0,12.5
41,10:00:00,250.0,250.0,12.5
42,10:15:00,250.0,250.0,12.5
43,10:30:00,250.0,250.0,12.5
44,10:45:00,250.0,250.0,12.5
45,11:00:00,250.0,250.0,12.5
46,11:15:00,247.66315789473686,250.0,12.5
47,11:30:00,245.32631578947368,250.0,12.5
48,11:45:00,242.98947368421054,250.0,12.5
49,12:00:00,240.6526315789474,250.0,12.5
50,12:15:00,242.9706371190816,250.0,12.5
51,12:30:00,245.28864265921584,250.0,12.5
52,12:45:00,247.60664819935008,250.0,12.5
53,13:00:00,247.60664819935008,250.0,12.5
54,13:15:00,247.68199445986576,250.0,12.5
55,13:30:00,250.0,250.0,12.5
56,13:45:00,250.0,250.0,12.5
57,14:00:00,250.0,250.0,12.5
58,14:15:00,250.0,250.0,12.5
59,14:30:00,250.0,250.0,12.5
60,14:45:00,250.0,250.0,12.5
61,15:00:00,250.0,250.0,12.5
62,15:15:00,250.0,250.0,12.5
63,15:30:00,250.0,250.0,12.5
64,15:45:00,250.0,250.0,12.5
65,16:00:00,250.0,250.0,12.5
66,16:15:00,250.0,250.0,12.5
67,16:30:00,250.0,250.0,12.5
68,16:45:00,250.0,250.0,12.5
69,17:00:00,250.0,250.0,12.5
70,17:15:00,245.32631578947368,250.0,12.5
71,17:30:00,240.65263157894736,250.0,12.5
72,17:45:00,235.97894736842105,250.0,12.5
73,18:00:00,238.29695290855528,250.0,12.5
74,18:15:00,237.16786703545003,250.0,12.5
75,18:30:00,234.83102493018683,250.0,12.5
76,18:45:00,231.6066481983558,250.0,12.5
77,19:00:00,233.92465373849004,250.0,12.5
78,19:15:00,229.25096952956517,250.0,12.5
79,19:30:00,224.57728531903885,250.0,12.5
80,19:45:00,219.90360110851253,250.0,12.5
81,20:00:00,215.22991689798621,250.0,12.5
82,20:15:00,217.54792243812045,250.0,12.5
83,20:30:00,219.86592797825466,250.0,12.5
84,20:45:00,222.1839335183889,250.0,12.5
85,21:00:00,224.50193905852313,250.0,12.5
86,21:15:00,226.81994459865734,250.0,12.5
87,21:30:00,229.13795013879158,250.0,12.5
88,21:45:00,231.45595567892582,250.0,12.5
89,22:00:00,233.77396121906006,250.0,12.5
90,22:15:00,236.09196675919466,250.0,12.5
91,22:30:00,238.40997229932887,250.0,12.5
92,22:45:00,240.7279778394631,250.0,12.5
93,23:00:00,243.04598337959732,250.0,12.5
94,23:15:00,245.36398891973155,250.0,12.5
95,23:30:00,247.6819944598658,250.0,12.5
96,23:45:00,250.0,250.0,12.5
