Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh,MCS_2_SOE_kWh,MCS_2_Max_SOE_kWh,MCS_2_Min_SOE_kWh
1,00:00:00,250.0,250.0,12.5,250.0,250.0,12.5
2,00:15:00,250.0,250.0,12.5,250.0,250.0,12.5
3,00:30:00,250.0,250.0,12.5,250.0,250.0,12.5
4,00:45:00,250.0,250.0,12.5,250.0,250.0,12.5
5,01:00:00,250.0,250.0,12.5,250.0,250.0,12.5
6,01:15:00,250.0,250.0,12.5,250.0,250.0,12.5
7,01:30:00,250.0,250.0,12.5,250.0,250.0,12.5
8,01:45:00,250.0,250.0,12.5,250.0,250.0,12.5
9,02:00:00,250.0,250.0,12.5,250.0,250.0,12.5
10,02:15:00,250.0,250.0,12.5,250.0,250.0,12.5
11,02:30:00,250.0,250.0,12.5,250.0,250.0,12.5
12,02:45:00,250.0,250.0,12.5,250.0,250.0,12.5
13,03:00:00,250.0,250.0,12.5,250.0,250.0,12.5
14,03:15:00,250.0,250.0,12.5,250.0,250.0,12.5
15,03:30:00,250.0,250.0,12.5,250.0,250.0,12.5
16,03:45:00,250.0,250.0,12.5,250.0,250.0,12.5
17,04:00:00,250.0,250.0,12.5,250.0,250.0,12.5
18,04:15:00,250.0,250.0,12.5,250.0,250.0,12.5
19,04:30:00,250.0,250.0,12.5,250.0,250.0,12.5
20,04:45:00,250.0,250.0,12.5,250.0,250.0,12.5
21,05:00:00,250.0,250.0,12.5,250.0,250.0,12.5
22,05:15:00,250.0,250.0,12.5,250.0,250.0,12.5
23,05:30:00,250.0,250.0,12.5,250.0,250.0,12.5
24,05:45:00,250.0,250.0,12.5,250.0,250.0,12.5
25,06:00:00,250.0,250.0,12.5,250.0,250.0,12.5
26,06:15:00,250.0,250.0,12.5,250.0,250.0,12.5
27,06:30:00,250.0,250.0,12.5,250.0,250.0,12.5
28,06:45:00,250.0,250.0,12.5,250.0,250.0,12.5
29,07:00:00,250.0,250.0,12.5,250.0,250.0,12.5
30,07:15:00,250.0,250.0,12.5,250.0,250.0,12.5
31,07:30:00,250.0,250.0,12.5,250.0,250.0,12.5
32,07:45:00,250.0,250.0,12.5,250.0,250.0,12.5
33,08:00:00,250.0,250.0,12.5,250.0,250.0,12.5
34,08:15:00,250.0,250.0,12.5,250.0,250.0,12.5
35,08:30:00,250.0,250.0,12.5,250.0,250.0,12.5
36,08:45:00,250.0,250.0,12.5,250.0,250.0,12.5
37,09:00:00,250.0,250.0,12.5,250.0,250.0,12.5
38,09:15:00,250.0,250.0,12.5,250.0,250.0,12.5
39,09:30:00,250.0,250.0,12.5,250.0,250.0,12.5
40,09:45:00,250.0,250.0,12.5,250.0,250.0,12.5
41,10:00:00,250.0,250.0,12.5,250.0,250.0,12.5
42,10:15:00,250.0,250.0,12.5,250.0,250.0,12.5
43,10:30:00,250.0,250.0,12.5,250.0,250.0,12.5
44,10:45:00,250.0,250.0,12.5,250.0,250.0,12.5
45,11:00:00,250.0,250.0,12.5,250.0,250.0,12.5
46,11:15:00,247.68421052631598,250.0,12.5,245.26315789473668,250.0,12.5
47,11:30:00,245.36842105262946,250.0,12.5,240.52631578947268,250.0,12.5
48,11:45:00,243.05263157894527,250.0,12.5,235.78947368421055,250.0,12.5
49,12:00:00,240.73684210526105,250.0,12.5,231.0526315789474,250.0,12.5
50,12:15:00,236.00000000000236,250.0,12.5,235.3180778031982,250.0,12.5
51,12:30:00,236.0000000000088,250.0,12.5,238.40732265445436,250.0,12.5
52,12:45:00,236.00000000001054,250.0,12.5,242.6727688787089,250.0,12.5
53,13:00:00,236.00000000001054,250.0,12.5,246.93821510296513,250.0,12.5
54,13:15:00,237.20366132723177,250.0,12.5,250.0,250.0,12.5
55,13:30:00,241.46910755148747,250.0,12.5,250.0,250.0,12.5
56,13:45:00,245.73455377574373,250.0,12.5,250.0,250.0,12.5
57,14:00:00,250.0,250.0,12.5,250.0,250.0,12.5
58,14:15:00,250.00000000000003,250.0,12.5,249.99999999999997,250.0,12.5
59,14:30:00,250.00000000000003,250.0,12.5,249.99999999999997,250.0,12.5
60,14:45:00,250.00000000000003,250.0,12.5,249.99999999999997,250.0,12.5
61,15:00:00,250.00000000000003,250.0,12.5,249.99999999999997,250.0,12.5
62,15:15:00,250.00000000000003,250.0,12.5,249.99999999999997,250.0,12.5
63,15:30:00,250.00000000000003,250.0,12.5,249.99999999999997,250.0,12.5
64,15:45:00,250.00000000000003,250.0,12.5,249.99999999999997,250.0,12.5
65,16:00:00,250.00000000000003,250.0,12.5,249.99999999999997,250.0,12.5
66,16:15:00,250.0,250.0,12.5,249.99999999999997,250.0,12.5
67,16:30:00,250.0,250.0,12.5,249.99999999999997,250.0,12.5
68,16:45:00,250.0,250.0,12.5,250.0,250.0,12.5
69,17:00:00,250.0,250.0,12.5,250.0,250.0,12.5
70,17:15:00,241.31578947368422,250.0,12.5,250.0,250.0,12.5
71,17:30:00,241.46910755148747,250.0,12.5,241.31578947368422,250.0,12.5
72,17:45:00,245.73455377574373,250.0,12.5,232.63157894736844,250.0,12.5
73,18:00:00,250.0,250.0,12.5,228.33409610984017,250.0,12.5
74,18:15:00,250.0,250.0,12.5,232.5995423340964,250.0,12.5
75,18:30:00,241.31578947368422,250.0,12.5,236.86498855835268,250.0,12.5
76,18:45:00,232.63157894736844,250.0,12.5,241.13043478260894,250.0,12.5
77,19:00:00,223.94736842105266,250.0,12.5,245.39588100686524,250.0,12.5
78,19:15:00,215.87643020594984,250.0,12.5,249.6613272311215,250.0,12.5
79,19:30:00,220.1418764302061,250.0,12.5,245.71395881006887,250.0,12.5
80,19:45:00,224.40732265446238,250.0,12.5,244.39816933638465,250.0,12.5
81,20:00:00,228.6727688787186,250.0,12.5,244.39816933638465,250.0,12.5
82,20:15:00,232.93821510297488,250.0,12.5,244.39816933638465,250.0,12.5
83,20:30:00,237.20366132723115,250.0,12.5,239.97711670480572,250.0,12.5
84,20:45:00,241.4691075514874,250.0,12.5,235.5560640732268,250.0,12.5
85,21:00:00,245.73455377574376,250.0,12.5,233.03890160183082,250.0,12.5
86,21:15:00,250.0,250.0,12.5,228.61784897025186,250.0,12.5
87,21:30:00,250.0,250.0,12.5,232.88329519450815,250.0,12.5
88,21:45:00,245.57894736842107,250.0,12.5,237.14874141876442,250.0,12.5
89,22:00:00,241.15789473684214,250.0,12.5,241.41418764302068,250.0,12.5
90,22:15:00,236.7368421052632,250.0,12.5,245.67963386727695,250.0,12.5
91,22:30:00,232.9382151029749,250.0,12.5,249.94508009153319,250.0,12.5
92,22:45:00,237.20366132723117,250.0,12.5,247.83981693363845,250.0,12.5
93,23:00:00,241.46910755148744,250.0,12.5,247.83981693363845,250.0,12.5
94,23:15:00,245.73455377574373,250.0,12.5,247.83981693363845,250.0,12.5
95,23:30:00,250.0,250.0,12.5,245.7345537757437,250.0,12.5
96,23:45:00,250.0,250.0,12.5,250.0,250.0,12.5
