Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh,CEV_2_SOE_kWh,CEV_2_Max_SOE_kWh,CEV_2_Min_SOE_kWh
1,00:00:00,19.8,19.8,3.96,25.0,25.0,5.0
2,00:15:00,19.8,19.8,3.96,25.0,25.0,5.0
3,00:30:00,19.8,19.8,3.96,25.0,25.0,5.0
4,00:45:00,19.8,19.8,3.96,25.0,25.0,5.0
5,01:00:00,19.8,19.8,3.96,25.0,25.0,5.0
6,01:15:00,19.8,19.8,3.96,25.0,25.0,5.0
7,01:30:00,19.8,19.8,3.96,25.0,25.0,5.0
8,01:45:00,19.8,19.8,3.96,25.0,25.0,5.0
9,02:00:00,19.8,19.8,3.96,25.0,25.0,5.0
10,02:15:00,19.8,19.8,3.96,25.0,25.0,5.0
11,02:30:00,19.8,19.8,3.96,25.0,25.0,5.0
12,02:45:00,19.8,19.8,3.96,25.0,25.0,5.0
13,03:00:00,19.8,19.8,3.96,25.0,25.0,5.0
14,03:15:00,19.8,19.8,3.96,25.0,25.0,5.0
15,03:30:00,19.8,19.8,3.96,25.0,25.0,5.0
16,03:45:00,19.8,19.8,3.96,25.0,25.0,5.0
17,04:00:00,19.8,19.8,3.96,25.0,25.0,5.0
18,04:15:00,19.8,19.8,3.96,25.0,25.0,5.0
19,04:30:00,19.8,19.8,3.96,25.0,25.0,5.0
20,04:45:00,19.8,19.8,3.96,25.0,25.0,5.0
21,05:00:00,19.8,19.8,3.96,25.0,25.0,5.0
22,05:15:00,19.8,19.8,3.96,25.0,25.0,5.0
23,05:30:00,19.8,19.8,3.96,25.0,25.0,5.0
24,05:45:00,19.8,19.8,3.96,25.0,25.0,5.0
25,06:00:00,19.8,19.8,3.96,25.0,25.0,5.0
26,06:15:00,19.8,19.8,3.96,25.0,25.0,5.0
27,06:30:00,19.8,19.8,3.96,25.0,25.0,5.0
28,06:45:00,19.8,19.8,3.96,25.0,25.0,5.0
29,07:00:00,19.8,19.8,3.96,25.0,25.0,5.0
30,07:15:00,19.8,19.8,3.96,25.0,25.0,5.0
31,07:30:00,19.8,19.8,3.96,25.0,25.0,5.0
32,07:45:00,19.8,19.8,3.96,25.0,25.0,5.0
33,08:00:00,19.8,19.8,3.96,25.0,25.0,5.0
34,08:15:00,19.05,19.8,3.96,25.0,25.0,5.0
35,08:30:00,18.3,19.8,3.96,25.0,25.0,5.0
36,08:45:00,17.55,19.8,3.96,25.0,25.0,5.0
37,09:00:00,16.8,19.8,3.96,25.0,25.0,5.0
38,09:15:00,16.05,19.8,3.96,25.0,25.0,5.0
39,09:30:00,15.299999999999985,19.8,3.96,25.0,25.0,5.0
40,09:45:00,14.549999999999985,19.8,3.96,25.0,25.0,5.0
41,10:00:00,13.799999999999985,19.8,3.96,25.0,25.0,5.0
42,10:15:00,13.049999999999985,19.8,3.96,25.0,25.0,5.0
43,10:30:00,12.299999999999985,19.8,3.96,25.0,25.0,5.0
44,10:45:00,11.549999999999985,19.8,3.96,25.0,25.0,5.0
45,11:00:00,10.799999999999985,19.8,3.96,25.0,25.0,5.0
46,11:15:00,12.908999999999974,19.8,3.96,25.0,25.0,5.0
47,11:30:00,15.017999999999969,19.8,3.96,25.0,25.0,5.0
48,11:45:00,17.12699999999999,19.8,3.96,25.0,25.0,5.0
49,12:00:00,19.23599999999999,19.8,3.96,25.0,25.0,5.0
50,12:15:00,18.48599999999999,19.8,3.96,24.0,25.0,5.0
51,12:30:00,17.73599999999999,19.8,3.96,23.0,25.0,5.0
52,12:45:00,16.98599999999999,19.8,3.96,22.0,25.0,5.0
53,13:00:00,16.23599999999999,19.8,3.96,21.0,25.0,5.0
54,13:15:00,15.48599999999999,19.8,3.96,20.0,25.0,5.0
55,13:30:00,14.73599999999999,19.8,3.96,19.0,25.0,5.0
56,13:45:00,13.98599999999999,19.8,3.96,18.0,25.0,5.0
